"Batch.Order.ID","Market.Name","Stock.Name","Order.Type","Price","Quantity","Created.At","Quantity.Filled","GJP.Team.ID","GJP.User.ID"
11308,"6413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 10 June 2015?","Yes","sell",20,30,"10/17/14 8:25",30,28,13854
11322,"6413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 10 June 2015?","Yes","buy",40,100,"10/17/14 9:05",0,5,22118
11339,"6413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 10 June 2015?","Yes","buy",20,100,"10/17/14 13:51",0,30,13372
11341,"6413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 10 June 2015?","Yes","buy",45,200,"10/17/14 14:01",15,27,9038
11345,"6413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 10 June 2015?","Yes","buy",40,100,"10/17/14 14:52",0,10,24171
11358,"6413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 10 June 2015?","Yes","buy",59,15,"10/17/14 18:53",15,30,14074
11367,"6413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 10 June 2015?","Yes","buy",20,50,"10/17/14 20:43",0,8,22182
11369,"6413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 10 June 2015?","Yes","sell",80,50,"10/17/14 20:43",0,8,22182
11370,"6413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 10 June 2015?","Yes","sell",65,20,"10/17/14 20:43",0,8,22182
11371,"6413 - Will the Kurdistan Regional Government *hold a referendum on national independence **before 10 June 2015?","Yes","buy",25,25,"10/17/14 20:46",0,8,22182
11388,"1455 - Will Iran host a *head of state from one of the G8 countries or China on an official visit **before 1 June 2015?","Yes","sell",50,50,"10/22/14 10:08",4,5,22057
11392,"1457 - Will a *no-fly zone over any part of Syria be **officially announced **before 1 March 2015?","Yes","sell",60,50,"10/22/14 10:09",5,5,22057
11401,"1457 - Will a *no-fly zone over any part of Syria be **officially announced **before 1 March 2015?","Yes","buy",60,15,"10/22/14 10:13",15,7,5483
11402,"1456 - By how much will Chinese power consumption *grow in 2014?","Between 4% and 6%, inclusive","buy",30,5,"10/22/14 10:13",0,6,22151
11403,"1454 - Will Germany **officially report a negative GDP growth rate for the third quarter of 2014?","Yes","buy",50,50,"10/22/14 10:13",50,5,22150
11408,"1457 - Will a *no-fly zone over any part of Syria be **officially announced **before 1 March 2015?","Yes","buy",75,20,"10/22/14 10:15",20,10,22184
11409,"1454 - Will Germany **officially report a negative GDP growth rate for the third quarter of 2014?","Yes","buy",8,100,"10/22/14 10:16",0,9,8360
11410,"1456 - By how much will Chinese power consumption *grow in 2014?","Between 4% and 6%, inclusive","buy",5,500,"10/22/14 10:16",0,9,8360
11411,"1457 - Will a *no-fly zone over any part of Syria be **officially announced **before 1 March 2015?","Yes","buy",60,10,"10/22/14 10:17",10,28,13854
11413,"1453 - Which country (or countries) will **officially join the Asian Infrastructure Investment Bank before or at the Asia-Pacific Economic Cooperation (APEC) meeting?","South Korea","buy",30,10,"10/22/14 10:17",0,11,22127
11415,"1453 - Which country (or countries) will **officially join the Asian Infrastructure Investment Bank before or at the Asia-Pacific Economic Cooperation (APEC) meeting?","South Korea","buy",35,10,"10/22/14 10:17",0,11,22127
11416,"1455 - Will Iran host a *head of state from one of the G8 countries or China on an official visit **before 1 June 2015?","Yes","sell",45,20,"10/22/14 10:18",20,10,22184
11417,"1453 - Which country (or countries) will **officially join the Asian Infrastructure Investment Bank before or at the Asia-Pacific Economic Cooperation (APEC) meeting?","South Korea","buy",40,10,"10/22/14 10:18",0,11,22127
11419,"1457 - Will a *no-fly zone over any part of Syria be **officially announced **before 1 March 2015?","Yes","buy",25,10,"10/22/14 10:18",0,6,22151
11420,"1453 - Which country (or countries) will **officially join the Asian Infrastructure Investment Bank before or at the Asia-Pacific Economic Cooperation (APEC) meeting?","Australia","buy",50,10,"10/22/14 10:18",0,28,13854
11421,"1453 - Which country (or countries) will **officially join the Asian Infrastructure Investment Bank before or at the Asia-Pacific Economic Cooperation (APEC) meeting?","Neither Australia nor South Korea","buy",55,10,"10/22/14 10:18",0,11,22127
11422,"1455 - Will Iran host a *head of state from one of the G8 countries or China on an official visit **before 1 June 2015?","Yes","sell",50,10,"10/22/14 10:19",1,6,22151
11423,"1453 - Which country (or countries) will **officially join the Asian Infrastructure Investment Bank before or at the Asia-Pacific Economic Cooperation (APEC) meeting?","Neither Australia nor South Korea","buy",60,10,"10/22/14 10:19",5,11,22127
